Bead Lake,11.4,400,48.2897,-117.1075
Children of the Sun,7.2,621,47.7746,-117.4019
Clackamas Mountain,8.8,3147,48.6805,-118.9069
Dishman Hills Conservation Area - Iller Creek,5,1200,47.6053,-117.2808
Gypsy Copper Camp,0.5,100,48.8717,-117.1454
Hixon Canyon Trail,5.4,2500,46.2413,-117.6906
Mountain Spokane State Park - Quartz Mountain,4.7,756,47.9054,-117.1028
Old Stage,1.6,553,48.7094,-118.4445
Packer Creek,4,100,47.3865,-121.3848
Packers Trail - Mount Misery Loop,45,9234,46.1538,-117.6511
Ragged Ridge,15.1,3000,47.9046,-117.1029
Salmo-Priest Loop,19,3400,48.9586,-117.0775
Shedroof Divide ,22.8,5300,48.7973,-117.1284
Stevens Lake,6.4,1770,47.4542,-115.7664
Turkey Creek,8,2060,47.3865,-121.3848
Twin Sisters Rock,1,200,46.0426,-118.9404
Virginia Lily,4,900,48.8113,-118.9322
Wapaloosie Mountain,5,1850,48.6751,-118.5005
West Butte,11.8,3100,46.0998,-117.7868
Z Lake,3.5,275,47.6129,-118.4005