Barlow Point,2.4,800,48.0305,-121.4429
Bedal Basin River,5.2,1900,48.0701,-121.3753
Big Four Ice Caves Snowshoe ,7,250,48.0651,-121.5068
Big Tree Ridge,4.2,1340,47.547,-122.0705
Crystal Lakes,6,2300,46.9227,-121.5336
Goat Lake ,10.4,1400,48.0537,-121.4113
Gothic Basin,9.2,2840,48.0261,-121.4425
Greenwater and Echo Lakes,14,1900,47.1059,-121.4751
Hall of Mosses,0.8,100,47.8605,-123.9348
Iron Bear - Teanaway Ridge,6.5,1900,47.3557,-120.7176
Lake 22,5.4,1350,48.077,-121.7457
Lewis River Falls,8.8,450,46.1022,-121.9065
Mount Dickerman ,8.2,3950,48.0538,-121.49
Mount St. Helens - Monitor Ridge,10,4500,46.1461,-122.1835
Railroad Trail,6.6,325,48.7598,-122.4202
Saul Mountain ,4.2,1200,48.5213,-121.6072
Silver Star Mountain,6.4,1990,45.7217,-122.2696
Sunday Lake,6.2,355,47.6612,-121.6164
Twin Falls,2.6,500,47.4526,-121.7054
Upper Dungeness River,6.8,600,47.8776,-123.1369